#true policy loss value birl, true policy loss value diff brex
0.167714, 0.00524032
0.180565, 0.00430688
3.94741, 0.00435192
0.0198919, 0.00288285
0.0410973, 0.00564677
0.0772369, 0.00578594
3.22227, 0.00851387
0.0434969, 0.00801904
0.163502, 0.00751732
2.44795, 0.00513869
0.333242, 0.00470745
0.00568319, 0.00625132
0.0810004, 0.00320606
0.0312856, 0.00823879
0.00635058, 0.00710015
0.554434, 0.00312048
0.255758, 0.00497878
2.5166, 0.00789636
0.0193801, 0.00787277
0.894646, 0.00559185
1.89666, 0.00348835
0.890407, 0.00843252
0.08329, 0.00500958
0.813977, 0.00233964
0.0371523, 0.00431056
0.674981, 0.0036031
1.77218, 0.00397462
0.0147099, 0.00584527
3.28519, 0.00641633
0.0190989, 0.00590305
0.019315, 0.00733331
6.25906, 0.00238937
0.0515941, 0.00236777
0.229495, 0.00489823
4.41662, 0.00683242
5.37932, 0.00752871
0.119972, 0.00800588
0.0530697, 0.00332304
2.05986, 0.00784764
0.00377356, 0.00185764
0.0227905, 0.00563806
0.0376718, 0.0035176
2.40872, 0.00765319
3.60072, 0.00654418
0.08798, 0.00527773
3.05233, 0.00545497
0.011413, 0.00761812
0.285599, 0.00535756
5.38483, 0.0078576
0.877869, 0.00552199
0.0661663, 0.00283632
0.151524, 0.00514714
0.900716, 0.00787335
0.071441, 0.0060222
0.0886335, 0.00774868
0.0235093, 0.00447267
0.0385276, 0.00400724
0.348465, 0.00533883
1.3435, 0.0050572
0.014996, 0.00453312
0.0134606, 0.00399357
1.43738, 0.00682266
0.165195, 0.00786712
0.161388, 0.00392133
0.0122588, 0.00322883
0.183411, 0.00513656
3.47738, 0.00858673
0.172521, 0.00404106
0.0474039, 0.00583457
0.335982, 0.00349978
0.317765, 0.00629722
6.62439, 0.00286556
0.0558021, 0.00550261
0.0876943, 0.00242932
0.137482, 0.00756463
0.00783715, 0.00825162
1.47182, 0.00510099
1.00606, 0.00726924
0.500389, 0.00583077
5.27849, 0.00645286
0.372015, 0.0036411
1.38271, 0.00803432
0.0626616, 0.00675146
0.00428564, 0.00781703
0.00746393, 0.00721386
1.10048, 0.00810395
0.830179, 0.00710272
0.0315356, 0.00561443
1.30802, 0.0063764
3.11441, 0.00809337
2.52914, 0.00752838
0.004868, 0.00396131
6.69615, 0.00482486
0.00756839, 0.00404164
0.0846099, 0.00813307
7.84854, 0.00525488
0.256899, 0.00545567
0.147852, 0.0088238
0.70561, 0.0100765
2.51136, 0.00762257
