#true policy loss value birl, true policy loss value diff brex
0.118539, 0.00524032
0.0235094, 0.00430688
0.347964, 0.00435192
0.0280255, 0.00288285
0.038738, 0.00564677
1.58558, 0.00578594
0.761865, 0.00851387
0.0434969, 0.00801904
1.27458, 0.00751732
2.50874, 0.00513869
0.0531889, 0.00470745
0.00568319, 0.00625132
0.288291, 0.00320606
0.00595949, 0.00823879
0.0220195, 0.00710015
0.251449, 0.00312048
0.00414244, 0.00497878
0.00523188, 0.00789636
0.00994377, 0.00787277
0.884563, 0.00559185
0.118068, 0.00348835
0.812131, 0.00843252
0.00318426, 0.00500958
0.559103, 0.00233964
0.0371523, 0.00431056
0.0627856, 0.0036031
0.135257, 0.00397462
0.0146154, 0.00584527
2.99679, 0.00641633
0.0135365, 0.00590305
0.0181737, 0.00733331
6.28201, 0.00238937
0.00780992, 0.00236777
0.1384, 0.00489823
0.327974, 0.00683242
5.33939, 0.00752871
0.0488823, 0.00800588
0.0485061, 0.00332304
2.20821, 0.00784764
0.0331541, 0.00185764
2.29372, 0.00563806
0.0210221, 0.0035176
1.53483, 0.00765319
0.0214156, 0.00654418
2.18786, 0.00527773
0.103903, 0.00545497
0.0152742, 0.00761812
0.114668, 0.00535756
5.37166, 0.0078576
0.00919757, 0.00552199
0.00448688, 0.00283632
0.00113726, 0.00514714
1.20384, 0.00787335
0.0281703, 0.0060222
0.138037, 0.00774868
0.128315, 0.00447267
1.45573, 0.00400724
2.24329, 0.00533883
1.44504, 0.0050572
0.0814562, 0.00453312
0.00481101, 0.00399357
1.43738, 0.00682266
0.0200624, 0.00786712
0.0168147, 0.00392133
0.0123392, 0.00322883
0.0315786, 0.00513656
2.97059, 0.00858673
0.0250786, 0.00404106
0.0186261, 0.00583457
0.359682, 0.00349978
0.787086, 0.00629722
6.44122, 0.00286556
1.15279, 0.00550261
0.115534, 0.00242932
0.500544, 0.00756463
0.00451826, 0.00825162
1.45275, 0.00510099
1.03725, 0.00726924
0.0119729, 0.00583077
1.78289, 0.00645286
5.66166, 0.0036411
1.13469, 0.00803432
0.00742386, 0.00675146
0.0078312, 0.00781703
0.0076332, 0.00721386
0.0717844, 0.00810395
1.0281, 0.00710272
0.00784026, 0.00561443
6.62184, 0.0063764
0.00605263, 0.00809337
0.0318797, 0.00752838
0.0655732, 0.00396131
0.0321513, 0.00482486
0.0413784, 0.00404164
0.0763686, 0.00813307
0.0611881, 0.00525488
0.259008, 0.00545567
5.08291, 0.0088238
0.0166164, 0.0100765
0.0114797, 0.00762257
